CoinName,Algorithm,ProofType,TotalCoinSupply,TotalCoinsMined,Class
42 Coin,Scrypt,PoW/PoS,42.0,41.99995383,0
404Coin,Scrypt,PoW/PoS,532000000.0,1055184902.04,0
EliteCoin,X13,PoW/PoS,314159265359.0,29279424622.5027,0
Bitcoin,SHA-256,PoW,21000000.0,17927175.0,1
Ethereum,Ethash,PoW,0.0,107684222.6865,1
Litecoin,Scrypt,PoW,84000000.0,63039243.30000489,1
Dash,X11,PoW/PoS,22000000.0,9031294.37563393,0
Monero,CryptoNight-V7,PoW,0.0,17201143.1449131,1
Ethereum Classic,Ethash,PoW,210000000.0,113359703.0,1
ZCash,Equihash,PoW,21000000.0,7383056.25,1
Bitshares,SHA-512,PoS,3600570502.0,2741570000.0,0
DigiByte,Multiple,PoW,21000000000.0,11406219141.0,1
BitcoinDark,SHA-256,PoW/PoS,22000000.0,1288862.0,0
PayCoin,SHA-256,PoS,12500000.0,11995334.8847328,0
ProsperCoin,Scrypt,PoW,21000000.0,5768310.0,1
KoboCoin,X15,PoW/PoS,350000000.0,25542535.5881841,0
Spreadcoin,X11,PoW,20000000.0,11149733.9976203,1
Argentum,Scrypt,PoW,64000000.0,12205795.444954902,1
Aurora Coin,Scrypt,PoW/PoS,16768584.0,18135099.992959,0
BlueCoin,Scrypt,PoW/PoS,0.0,635423900.0,0
MyriadCoin,Multiple,PoW,2000000000.0,1688254250.0,1
MoonCoin,Scrypt,PoW,384000000000.0,88.0,1
ZetaCoin,SHA-256,PoW,169795588.0,170204389.754849,1
SexCoin,Scrypt,PoW,250000000.0,128940951.183046,1
Quatloo,Scrypt,PoW,100000000.0,7357794.7925,1
EnergyCoin,Scrypt,PoW/PoS,0.0,123062801.128773,0
QuarkCoin,Quark,PoW,247000000.0,259557164.91477,1
Riecoin,Groestl,PoW,84000000.0,49548585.14129171,1
Digitalcoin ,Scrypt,PoW,48166000.0,33442988.3440364,1
BitBar,Scrypt,PoW/PoS,500000.0,42579.476901,0
Catcoin,Scrypt,PoW,21000000.0,7219956.64626131,1
CryptoBullion,Scrypt,PoW/PoS,1000000.0,1039116.65144562,0
CannaCoin,Scrypt,PoW,13140000.0,4703879.51824446,1
CryptCoin,X11,PoW,18000000.0,4996986.20575291,1
CasinoCoin,Scrypt,PoC,40000000000.0,39999997299.8568,0
Diamond,Groestl,PoW/PoS,4380000.0,3304487.74735637,0
Verge,Multiple,PoW,16555000000.0,15929530669.1206,1
DevCoin,SHA-256,PoW,21000000000.0,18773857500.0,1
EarthCoin,Scrypt,PoW,13500000000.0,12539015186.821999,1
E-Gulden,Scrypt,PoW,21000000.0,20910478.806249898,1
Einsteinium,Scrypt,PoW,299792458.0,218871896.499999,1
Emerald,Scrypt,PoW,32000000.0,19496786.31025,1
Exclusive Coin,PoS,PoS,0.0,5679705.0,0
FlutterCoin,Scrypt,PoS/PoW/PoT,0.0,461829905.32892996,0
Franko,Scrypt,PoW,11235813.0,1142732.14912776,1
FeatherCoin,NeoScrypt,PoW,336000000.0,208669093.00773,1
GrandCoin,Scrypt,PoW,1420609614.0,884125802.0,1
GlobalCoin,Scrypt,PoW,70000000.0,65672720.470874794,1
GoldCoin,Scrypt,PoW,72245700.0,41658647.9999715,1
HoboNickels,Scrypt,PoW/PoS,120000000.0,89266933.684704,0
HyperStake,X11,PoS,0.0,1678520090.7713,0
Infinite Coin,Scrypt,PoW,90600000000.0,90595753018.6314,1
IOCoin,X11,PoW/PoS,22000000.0,17650913.974345602,0
IXcoin,SHA-256,PoW,21000000.0,21089348.999,1
KrugerCoin,Scrypt,PoW,265420800.0,151447649.8,1
LuckyCoin,Scrypt,PoW,20000000.0,19326319.14375,1
Litebar ,Scrypt,PoW,1350000.0,1104344.22938102,1
MaxCoin,SHA3,PoW/PoS,100000000.0,61445805.0,0
MegaCoin,Scrypt,PoW,42000000.0,38151999.993099704,1
MediterraneanCoin,HybridScryptHash256,PoW,200000000.0,40431856.9,1
MintCoin,Scrypt,PoS,0.0,21293925445.4969,0
MinCoin,Scrypt,PoW,10000000.0,5804204.88794916,1
MazaCoin,SHA-256,PoW/PoS,2419200000.0,1613836099.99999,0
Nautilus Coin,Scrypt,PoS,16180000.0,16180000.0,0
NavCoin,X13,PoW/PoS,0.0,66087096.20771079,0
NobleCoin,Scrypt,PoW,15000000000.0,2366066305.76482,1
Namecoin,SHA-256,PoW,21000000.0,14736400.0,1
NyanCoin,Scrypt,PoW,337000000.0,334709223.48313797,1
OpalCoin,X13,PoW/PoS,0.0,15156364.3306548,0
Orbitcoin,NeoScrypt,PoW/PoS,3770000.0,3220616.279225,0
PotCoin,Scrypt,PoW/PoS,420000000.0,222677226.014206,0
PhoenixCoin,Scrypt,PoW/PoS,98000000.0,73959274.625,0
Reddcoin,Scrypt,PoW/PoS,0.0,29315567169.0888,0
RonPaulCoin,Scrypt,PoW,21000000.0,1104157.42169891,1
StableCoin,Scrypt,PoW,250000000.0,24215181.725,1
SmartCoin,Scrypt,PoW,51200000.0,25593737.1355044,1
SuperCoin,X11,PoS,0.0,50707661.74935179,0
SyncCoin,X11,PoW/PoS,1000.0,1177.0,0
SysCoin,SHA-256,PoW,888000000.0,563336541.299966,1
TeslaCoin,Multiple,PoS,100000000.0,80260463.7331396,0
TigerCoin,SHA-256,PoW,47011968.0,43536800.0,1
TittieCoin,PHI1612,PoS,2300000000.0,1622326490.46336,0
TorCoin,X11,PoW/PoS,10000000.0,1431851.00002479,0
TerraCoin,SHA-256,PoW,42000000.0,22935396.0,1
UnbreakableCoin,SHA-256,PoW,80000000.0,2278150.0,1
Unobtanium,SHA-256,PoW,250000.0,200911.79151896,1
UroCoin,X11,PoW,0.0,1207310.0,1
UnitaryStatus Dollar,Scrypt,PoW/PoS,1600000000.0,1098952592.6,0
UltraCoin,Scrypt,PoW/PoS,100000000.0,50235211.141939,0
ViaCoin,Scrypt,PoW,23000000.0,23150892.167968698,1
VeriCoin,Scrypt,PoST,0.0,32021108.413669605,0
Vertcoin,Lyra2REv2,PoW,84000000.0,51173723.81663471,1
WorldCoin,Scrypt,PoW,265420800.0,119606941.0,1
X11 Coin,X11,PoW/PoS,5500000.0,6950831.0970606,0
Crypti,Multiple,PoS,0.0,100000000.0,0
JouleCoin,SHA-256,PoW,45000000.0,39195739.362088,1
StealthCoin,X13,PoW/PoS,0.0,33093725.4123502,0
ZCC Coin,Scrypt,PoW/PoS,1000000000.0,147990237.978331,0
ByteCoin,CryptoNight,PoW,184467440735.0,184066828814.0,1
DigitalNote ,CryptoNight,PoW,10000000000.0,6906587610.38292,1
BurstCoin,Shabal256,PoC,2158812800.0,1813033920.0,1
StorjCoin,Counterparty,PoS,500000000.0,51173144.0,0
MonaCoin,Scrypt,PoW,105120000.0,68194674.8711679,1
Neutron,SHA-256,PoW/PoS,68000000.0,39121694.0,0
FairCoin,Groestl,PoW/PoS,0.0,53193831.0,0
Gulden,Scrypt,PoW,1680000000.0,415032420.0,1
RubyCoin,Scrypt,PoS,0.0,27184490.3918338,0
PesetaCoin,Scrypt,PoW,166386000.0,137517654.41397,1
Kore,X13,PoW/PoS,12000000.0,2022464.886973,0
Wild Beast Coin,Scrypt,PoW,2628000.0,181919.2435974,1
Dnotes,Scrypt,PoS,500000000.0,174646113.934655,0
Flo,Scrypt,PoW,160000000.0,152270664.860648,1
8BIT Coin,Scrypt,PoW/PoS,0.0,1467841.0,0
Sativa Coin,X13,PoW/PoS,10000000.0,7096834.0,0
ArtByte,Scrypt,PoW,1000000000.0,792537250.0,1
Folding Coin,Stanford Folding,PoW,1000000000.0,719416990.0,1
Ucoin,X11,PoS,20000000.0,2689812.0,0
Unitus,Multiple,PoW,0.0,65113302.0,1
